5751.0,620.0,3.98048,10.18874,10.18874,5.53150,5.53150,1.00000,143,57823
5741.0,630.0,3.98281,10.20422,10.20422,5.53924,5.53924,1.00000,143,57823
5731.0,640.0,3.98514,10.21971,10.21971,5.54699,5.54699,1.00000,143,57823
5721.0,650.0,3.98746,10.23520,10.23520,5.55473,5.55473,1.00000,143,57823
5711.0,660.0,3.98979,10.25069,10.25069,5.56247,5.56247,1.00000,143,57823
5701.0,670.0,3.99212,10.26617,10.26617,5.57021,5.57021,1.00000,143,57823
5701.0,670.0,4.38074,10.75132,10.75132,5.94513,5.94513,1.00000,312,57823
5685.7,685.3,4.39029,10.79897,10.79897,5.98986,5.98986,1.00000,312,57823
5635.7,735.3,4.42128,10.95459,10.95459,6.13609,6.13609,1.00000,312,57823
5600.0,771.0,4.44320,11.06560,11.06560,6.24054,6.24054,1.00000,312,57823
5600.0,771.0,4.44320,11.06559,11.06559,6.24039,6.24039,1.00000,312,57823
5585.7,785.3,4.45194,11.09179,11.09179,6.25067,6.25067,1.00000,312,57823
5535.7,835.3,4.48228,11.18192,11.18192,6.28608,6.28608,1.00000,312,57823
5485.7,885.3,4.51232,11.26984,11.26984,6.32065,6.32065,1.00000,312,57823
5435.7,935.3,4.54206,11.35563,11.35563,6.35442,6.35442,1.00000,312,57823
5385.7,985.3,4.57150,11.43936,11.43936,6.38742,6.38742,1.00000,312,57823
5335.7,1035.3,4.60067,11.52110,11.52110,6.41967,6.41967,1.00000,312,57823
5285.7,1085.3,4.62956,11.60095,11.60095,6.45120,6.45120,1.00000,312,57823
5235.7,1135.3,4.65819,11.67896,11.67896,6.48204,6.48204,1.00000,312,57823
5185.7,1185.3,4.68656,11.75523,11.75523,6.51220,6.51220,1.00000,312,57823
5135.7,1235.3,4.71469,11.82983,11.82983,6.54173,6.54173,1.00000,312,57823
5085.7,1285.3,4.74259,11.90283,11.90283,6.57064,6.57064,1.00000,312,57823
5035.7,1335.3,4.77025,11.97431,11.97431,6.59897,6.59897,1.00000,312,57823
4985.7,1385.3,4.79770,12.04435,12.04435,6.62674,6.62674,1.00000,312,57823
4935.7,1435.3,4.82493,12.11304,12.11304,6.65398,6.65398,1.00000,312,57823
4885.7,1485.3,4.85196,12.18043,12.18043,6.68071,6.68071,1.00000,312,57823
4835.7,1535.3,4.87881,12.24662,12.24662,6.70696,6.70696,1.00000,312,57823
4785.7,1585.3,4.90547,12.31167,12.31167,6.73276,6.73276,1.00000,312,57823
4735.7,1635.3,4.93195,12.37567,12.37567,6.75813,6.75813,1.00000,312,57823
4685.7,1685.3,4.95827,12.43870,12.43870,6.78311,6.78311,1.00000,312,57823
4635.7,1735.3,4.98443,12.50083,12.50083,6.80771,6.80771,1.00000,312,57823
4585.7,1785.3,5.01045,12.56213,12.56213,6.83197,6.83197,1.00000,312,57823
4535.7,1835.3,5.03633,12.62269,12.62269,6.85592,6.85592,1.00000,312,57823
4485.7,1885.3,5.06208,12.68258,12.68258,6.87957,6.87957,1.00000,312,57823
4435.7,1935.3,5.08770,12.74188,12.74188,6.90296,6.90296,1.00000,312,57823
4385.7,1985.3,5.11322,12.80067,12.80067,6.92611,6.92611,1.00000,312,57823
4335.7,2035.3,5.13863,12.85902,12.85902,6.94906,6.94906,1.00000,312,57823
4285.7,2085.3,5.16395,12.91702,12.91702,6.97182,6.97182,1.00000,312,57823
4235.7,2135.3,5.18919,12.97473,12.97473,6.99442,6.99442,1.00000,312,57823
4185.7,2185.3,5.21434,13.03224,13.03224,7.01690,7.01690,1.00000,312,57823
